basic_date,close_value
11/28/2006,492000
11/29/2006,495000
11/30/2006,499500
12/01/2006,500000
12/04/2006,500000
12/05/2006,500000
12/06/2006,499500
12/07/2006,495500
12/08/2006,486500
12/11/2006,484000
12/12/2006,490000
12/13/2006,492000
12/14/2006,494000
12/15/2006,487500
12/18/2006,488000
12/19/2006,485000
12/20/2006,490000
12/21/2006,485000
12/22/2006,480000
12/26/2006,490000
12/27/2006,480000
12/28/2006,480000
01/02/2007,487500
01/03/2007,479500
01/04/2007,479000
01/05/2007,476000
01/08/2007,471000
01/09/2007,466500
01/10/2007,452000
01/11/2007,448000
01/12/2007,459500
01/15/2007,466000
01/16/2007,466000
01/17/2007,463000
01/18/2007,455000
01/19/2007,449000
01/22/2007,455000
01/23/2007,456500
01/24/2007,460500
01/25/2007,464000
01/26/2007,455000
01/29/2007,445000
01/30/2007,438000
01/31/2007,442000
02/01/2007,444000
02/02/2007,464000
02/05/2007,456000
02/06/2007,449500
02/07/2007,445000
02/08/2007,440500
02/09/2007,439500
02/12/2007,428500
02/13/2007,420000
02/14/2007,424000
02/15/2007,432000
02/16/2007,454000
02/20/2007,470000
02/21/2007,471000
02/22/2007,468500
02/23/2007,460000
02/26/2007,452500
02/27/2007,445000
02/28/2007,435000
03/02/2007,445000
03/05/2007,433000
03/06/2007,439000
03/07/2007,436000
03/08/2007,438000
03/09/2007,441000
03/12/2007,458000
03/13/2007,457500
03/14/2007,448500
03/15/2007,447000
03/16/2007,446000
03/19/2007,442500
03/20/2007,448500
03/21/2007,442000
03/22/2007,441000
03/23/2007,438000
03/26/2007,440500
03/27/2007,439000
03/28/2007,443500
03/29/2007,453000
03/30/2007,442500
04/02/2007,450000
04/03/2007,457500
04/04/2007,478500
04/05/2007,478500
04/06/2007,469500
04/09/2007,462000
04/10/2007,463500
04/11/2007,478500
04/12/2007,471500
04/13/2007,463000
04/16/2007,461000
04/17/2007,460500
04/18/2007,452000
04/19/2007,440500
04/20/2007,441500
04/23/2007,441500
04/24/2007,437000
04/25/2007,432500
04/26/2007,444000
04/27/2007,442000
04/30/2007,440500
05/02/2007,440500
05/03/2007,439000
05/04/2007,436500
05/07/2007,443500
05/08/2007,443000
05/09/2007,440500
05/10/2007,436500
05/11/2007,435000
05/14/2007,435000
05/15/2007,435000
05/16/2007,439000
05/17/2007,441000
05/18/2007,438000
05/21/2007,429000
05/22/2007,450500
05/23/2007,447500
05/25/2007,440500
05/28/2007,435000
05/29/2007,423500
05/30/2007,409000
05/31/2007,420000
06/01/2007,435500
06/04/2007,445000
06/05/2007,443000
06/07/2007,435500
06/08/2007,435500
06/11/2007,447000
06/12/2007,448500
06/13/2007,448500
06/14/2007,462000
06/15/2007,459500
06/18/2007,465500
06/19/2007,458000
06/20/2007,457500
06/21/2007,458000
06/22/2007,460500
06/25/2007,461000
06/26/2007,454500
06/27/2007,444500
06/28/2007,437000
06/29/2007,432500
07/02/2007,428500
07/03/2007,431000
07/04/2007,431000
07/05/2007,441000
07/06/2007,468000
07/09/2007,500000
07/10/2007,491000
07/11/2007,491000
07/12/2007,498000
07/13/2007,525000
07/16/2007,506000
07/18/2007,495000
07/19/2007,488000
07/20/2007,500000
07/23/2007,500000
07/24/2007,499000
07/25/2007,495000
07/26/2007,478000
07/27/2007,461000
07/30/2007,464500
07/31/2007,460000
08/01/2007,445000
08/02/2007,441500
08/03/2007,448500
08/06/2007,435500
08/07/2007,442000
08/08/2007,451000
08/09/2007,459000
08/10/2007,443000
08/13/2007,449500
08/14/2007,451500
08/16/2007,416000
08/17/2007,413000
08/20/2007,425000
08/21/2007,440000
08/22/2007,440000
08/23/2007,444500
08/24/2007,444000
08/27/2007,440000
08/28/2007,439000
08/29/2007,422000
08/30/2007,431500
08/31/2007,439500
09/03/2007,430000
09/04/2007,433500
09/05/2007,432000
09/06/2007,432000
09/07/2007,429000
09/10/2007,424500
09/11/2007,431000
09/12/2007,425000
09/13/2007,433000
09/14/2007,424000
09/17/2007,418000
09/18/2007,415000
09/19/2007,420000
09/20/2007,418500
09/21/2007,407000
09/27/2007,420000
09/28/2007,426000
10/01/2007,427500
10/02/2007,431500
10/04/2007,419000
10/05/2007,420000
10/08/2007,417000
10/09/2007,409000
10/10/2007,414000
10/11/2007,419000
10/12/2007,423000
10/15/2007,419000
10/16/2007,406000
10/17/2007,410000
10/18/2007,405500
10/19/2007,408000
10/22/2007,401500
10/23/2007,405500
10/24/2007,405000
10/25/2007,410000
10/26/2007,421000
10/29/2007,423000
10/30/2007,423000
10/31/2007,425000
11/01/2007,428000
11/02/2007,423000
11/05/2007,425000
11/06/2007,428500
11/07/2007,446500
11/08/2007,436000
11/09/2007,428500
11/12/2007,418000
11/13/2007,410500
11/14/2007,415000
11/15/2007,423500
11/16/2007,413000
11/19/2007,405000
11/20/2007,400000
11/21/2007,393000
11/22/2007,406000
11/23/2007,420000
11/26/2007,421000
11/27/2007,408000
11/28/2007,408500
11/29/2007,421000
11/30/2007,406000
12/03/2007,405000
12/04/2007,419000
12/05/2007,426000
12/06/2007,457500
12/07/2007,451000
12/10/2007,452000
12/11/2007,453500
12/12/2007,443000
12/13/2007,442000
12/14/2007,430500
12/17/2007,435000
12/18/2007,428000
12/20/2007,425000
12/21/2007,418000
12/24/2007,431000
12/26/2007,431500
12/27/2007,430000
12/28/2007,428000
01/02/2008,415500
01/03/2008,413500
01/04/2008,411000
01/07/2008,400000
01/08/2008,393000
01/09/2008,396000
01/10/2008,387000
01/11/2008,384000
01/14/2008,393500
01/15/2008,400000
01/16/2008,403000
01/17/2008,422000
01/18/2008,417500
01/21/2008,412500
01/22/2008,402500
01/23/2008,396000
01/24/2008,400000
01/25/2008,409000
01/28/2008,387500
01/29/2008,400000
01/30/2008,405000
01/31/2008,430000
02/01/2008,422000
02/04/2008,446500
02/05/2008,455000
02/11/2008,431500
02/12/2008,427000
02/13/2008,419000
02/14/2008,423000
02/15/2008,412000
02/18/2008,405000
02/19/2008,421000
02/20/2008,421000
02/21/2008,435000
02/22/2008,430000
02/25/2008,425500
02/26/2008,418000
02/27/2008,414500
02/28/2008,417000
02/29/2008,409500
03/03/2008,410000
03/04/2008,405000
03/05/2008,405500
03/06/2008,410500
03/07/2008,397500
03/10/2008,402000
03/11/2008,410000
03/12/2008,411000
03/13/2008,413500
03/14/2008,407500
03/17/2008,415000
03/18/2008,413000
03/19/2008,429500
03/20/2008,442500
03/21/2008,442500
03/24/2008,437500
03/25/2008,440000
03/26/2008,438000
03/27/2008,440000
03/28/2008,446000
03/31/2008,446000
04/01/2008,450000
04/02/2008,468500
04/03/2008,477000
04/04/2008,463000
04/07/2008,460000
04/08/2008,457500
